x.bar,y.bar,xybar,x.edge,y.edge,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,letter
9,6,9,5,3,5,?,8,?,10,13,9,?,11,5,A
0,1,1,0,1,?,10,5,7,8,13,?,13,?,3,L
6,11,13,5,5,?,10,10,14,13,14,?,14,6,9,K
9,8,13,4,5,6,11,7,?,12,15,13,?,8,6,K
9,8,9,8,9,14,7,12,?,12,14,12,?,12,12,U
10,10,9,4,4,?,?,6,6,?,14,15,12,10,2,D
10,10,8,4,5,12,8,9,10,12,?,14,?,13,8,U
9,9,8,5,6,?,11,?,14,9,13,18,?,9,4,O
6,11,9,11,1,6,12,7,?,10,?,15,14,13,5,W
6,14,14,1,4,?,?,4,9,6,15,19,14,11,5,P
5,9,10,4,4,9,?,7,8,?,13,11,9,12,5,K
10,10,13,3,4,8,?,?,10,11,14,12,12,?,6,X
5,11,12,4,4,14,?,?,12,12,14,15,14,?,5,U
12,11,16,3,7,6,11,7,9,8,?,?,11,10,5,J
11,10,15,4,5,7,?,8,8,11,13,13,?,8,6,E
11,10,13,4,6,10,12,8,8,?,15,?,11,7,?,X
10,8,8,11,3,10,?,?,5,10,16,17,10,11,6,M
4,11,16,3,3,?,12,11,?,16,13,14,13,10,5,C
5,6,3,1,2,12,8,10,14,11,12,?,13,?,4,L
7,13,10,3,6,11,12,6,?,12,12,12,8,12,5,R
2,19,17,0,3,8,10,9,8,?,12,?,13,?,2,F
15,8,15,0,1,6,10,4,4,10,?,14,11,7,2,J
11,11,10,3,6,7,13,4,5,?,13,17,?,13,3,Q
10,10,13,0,10,17,?,9,11,10,?,?,11,3,4,Z
10,10,8,6,9,8,?,8,10,13,15,14,12,?,?,G
8,7,8,3,3,4,10,10,?,11,13,?,12,?,4,A
11,9,18,2,2,7,8,7,7,13,?,14,?,9,4,J
8,11,10,4,9,11,13,10,11,10,14,?,?,?,9,T
8,10,13,4,5,8,9,9,?,11,13,12,?,5,4,X
9,9,9,0,0,?,12,?,?,10,13,15,11,10,2,I
7,11,8,6,8,11,12,10,?,12,13,10,10,?,8,R
9,9,9,3,4,13,11,3,?,?,14,18,?,12,?,D
7,14,15,2,3,9,10,?,?,7,15,16,17,8,3,T
9,9,13,3,5,9,12,7,?,13,14,12,13,?,4,E
9,10,9,3,11,11,?,7,9,11,13,11,13,12,?,S
8,16,17,2,2,?,11,4,5,4,?,15,12,9,2,F
9,10,10,0,12,9,12,7,?,?,13,13,12,7,6,Z
10,8,14,6,6,10,9,9,?,11,?,10,14,12,9,O
9,11,13,3,6,10,?,?,9,11,14,14,?,10,6,G
8,14,9,13,1,5,?,18,17,10,?,?,15,10,?,W
9,9,6,8,1,14,?,6,10,11,12,?,?,18,4,N
10,11,8,4,4,12,11,7,9,?,13,14,11,10,?,H
10,9,8,3,5,9,11,3,3,?,15,14,?,10,3,G
8,10,9,3,5,14,?,3,4,8,14,17,?,10,2,D
6,13,12,3,6,13,12,8,8,6,13,13,14,13,?,P
7,12,10,3,6,9,13,?,8,11,?,12,10,12,5,R
9,13,9,2,1,4,12,3,4,10,15,?,?,11,1,Y
10,9,14,2,7,8,13,?,6,?,16,14,12,?,?,S
4,12,16,4,3,13,11,12,14,13,14,?,13,10,?,U
6,10,9,4,6,?,13,7,8,18,14,15,12,8,?,K
9,12,13,5,6,8,11,11,?,6,12,12,?,7,7,P
9,9,16,2,8,?,10,6,8,11,?,15,13,6,?,Z
11,11,10,6,4,10,?,8,10,8,14,13,14,13,?,O
9,12,9,5,0,?,13,6,8,?,15,13,14,11,5,V
11,10,10,8,5,12,11,8,?,9,?,14,12,10,?,H
5,11,9,4,3,10,12,6,?,15,13,18,?,15,2,K
10,10,9,8,11,9,8,10,?,7,13,10,14,?,12,D
8,4,7,1,1,3,10,4,4,?,15,14,?,?,4,A
8,11,10,3,11,13,11,?,8,?,12,12,13,7,5,Z
8,11,12,2,5,?,14,4,8,17,?,18,10,9,?,C
6,10,13,4,3,12,11,9,?,13,14,15,?,9,5,U
4,12,15,4,2,13,?,9,?,13,15,14,15,9,4,U
9,6,9,4,1,3,?,4,4,?,15,17,11,11,?,A
11,8,11,6,9,?,11,10,15,15,11,14,12,12,9,Q
13,15,7,1,1,8,13,10,13,10,12,10,14,7,6,T
9,9,9,11,3,9,?,10,?,11,15,13,10,11,9,M
10,8,13,5,5,7,12,?,9,14,14,14,10,8,?,K
8,9,14,7,7,8,11,13,?,12,11,?,13,13,5,O
10,6,10,4,0,?,13,12,13,10,12,13,12,?,5,U
7,13,12,10,4,6,13,?,14,9,13,14,?,10,?,W
10,13,16,3,8,7,13,12,11,?,12,11,12,9,4,I
14,9,9,7,1,?,10,?,9,10,14,14,16,11,8,W
9,11,10,4,1,13,10,8,9,11,13,13,?,18,2,H
13,4,13,2,1,4,?,3,5,12,17,14,?,12,?,A
11,10,12,3,3,8,12,3,5,11,14,15,?,13,3,O
8,14,16,3,5,9,9,11,9,?,?,12,14,7,4,T
16,2,14,7,6,?,10,?,?,15,13,12,6,12,?,A
9,14,9,2,1,4,13,?,9,10,15,12,13,10,?,Y
9,10,9,1,5,14,14,?,3,19,15,?,9,?,0,C
10,9,10,1,1,8,10,?,0,10,13,?,12,?,1,I
10,10,18,2,4,?,14,9,?,8,13,13,14,8,5,P
4,11,8,5,3,10,14,11,11,?,11,?,10,13,6,K
9,8,13,4,4,?,10,?,7,12,16,16,10,8,4,H
9,10,15,4,7,10,10,?,13,14,12,9,11,6,?,E
10,9,9,3,8,14,12,7,9,12,13,12,10,?,4,G
9,9,7,8,0,?,11,10,?,11,12,12,12,18,5,N
9,9,13,1,10,?,11,?,?,11,11,15,11,4,3,Z
10,16,6,6,4,?,12,11,13,13,13,10,15,10,8,V
4,9,10,6,3,11,14,6,?,15,12,16,11,13,?,K
11,6,9,4,4,5,12,7,10,?,13,11,12,11,?,A
10,11,10,4,0,?,11,8,?,11,14,13,11,18,4,H
4,10,10,0,10,15,12,3,7,19,12,15,13,7,4,E
10,9,13,4,6,12,10,10,12,12,14,?,15,?,5,O
4,10,9,6,5,10,11,7,8,15,?,?,10,14,5,K
10,10,9,4,6,?,12,?,11,12,13,12,11,8,8,E
11,11,8,0,10,?,11,?,10,8,?,11,13,8,?,S
12,12,11,5,7,7,?,6,?,8,?,13,15,11,5,J
9,13,9,1,3,8,?,?,13,12,13,?,14,7,6,Y
11,5,9,1,5,7,12,?,9,?,?,?,14,7,4,I
13,10,12,3,9,5,9,9,9,8,?,10,12,10,6,J
10,14,7,7,11,7,?,8,14,14,?,13,12,12,?,Q
9,10,10,11,13,10,?,12,14,?,14,?,11,?,12,E
11,10,9,3,4,10,11,5,5,12,14,15,12,12,3,O
12,8,14,1,3,?,8,9,9,13,?,10,13,9,4,J
9,7,10,3,4,4,11,?,11,11,13,14,13,11,?,A
7,13,11,4,2,12,?,8,11,?,15,14,13,10,7,U
9,11,14,1,7,?,9,5,6,?,15,16,?,8,5,S
9,11,9,3,4,11,12,5,?,?,?,?,12,12,5,O
10,11,7,4,7,?,12,6,?,14,?,14,13,13,?,Q
9,9,8,4,5,11,10,9,10,5,13,12,12,?,6,D
7,15,13,2,2,4,12,4,3,10,?,16,15,10,3,V
10,11,7,6,11,11,11,10,?,10,14,10,15,?,10,X
12,13,9,4,12,9,10,9,11,10,?,?,15,?,8,Z
11,12,11,6,15,9,?,9,?,7,11,9,?,?,11,D
8,16,10,10,2,4,14,10,15,11,15,11,?,10,11,W
12,9,8,9,4,?,14,15,14,8,?,13,14,9,8,V
8,9,14,4,3,?,?,5,6,13,17,17,13,6,3,K
11,9,7,3,6,8,13,3,5,13,13,15,?,?,5,Q
9,10,12,2,9,?,13,11,?,?,12,12,11,8,4,E
12,7,11,7,9,6,12,8,12,13,?,?,11,?,?,K
8,9,10,5,8,11,7,9,12,?,?,15,12,9,?,D
6,16,16,1,3,9,?,7,?,6,15,14,?,9,4,Y
10,9,13,5,3,8,11,5,6,?,14,?,12,9,?,H
11,9,13,6,6,?,12,8,?,12,13,13,10,6,6,K
12,11,17,5,6,7,?,?,?,8,15,10,13,8,10,P
9,12,10,9,4,?,?,10,12,8,14,14,13,10,6,N
7,10,10,0,8,12,14,?,?,?,15,16,10,9,0,E
6,15,13,3,2,6,12,?,?,9,15,16,?,10,1,V
11,5,12,6,7,7,10,?,?,?,15,15,11,?,8,O
9,11,17,0,2,6,?,?,5,11,12,12,14,6,?,I
6,10,10,11,3,4,12,14,13,11,?,12,?,?,6,W
7,9,9,2,6,?,12,?,7,19,12,10,13,?,2,C
10,8,12,4,4,13,12,?,7,10,13,?,11,11,6,O
9,11,9,8,9,7,?,?,9,13,?,12,14,9,7,R
9,10,9,5,9,8,12,6,9,?,16,14,13,?,7,G
7,11,14,5,4,10,10,8,?,13,13,12,15,?,5,X
12,12,9,8,13,9,13,11,12,8,13,12,13,?,?,B
14,4,16,4,10,?,13,14,11,15,14,12,?,?,6,Q
12,8,15,5,8,8,12,9,?,?,13,11,10,8,?,E
4,11,13,2,5,?,10,?,11,17,13,15,11,8,4,C
5,12,12,11,2,?,13,?,11,11,13,?,16,9,7,W
8,14,9,5,6,12,13,10,11,?,?,9,9,13,4,R
8,10,8,8,9,?,11,9,?,12,14,11,16,?,9,R
10,10,10,5,0,7,?,9,12,11,?,10,?,?,4,V
10,6,10,3,2,?,11,2,?,10,15,16,11,?,0,A
11,5,9,7,7,4,12,10,15,11,11,?,9,?,7,A
10,9,14,3,7,9,9,?,10,10,?,15,?,7,6,S
9,9,15,3,4,?,11,?,3,12,15,?,11,8,2,E
9,7,6,7,6,?,9,?,14,9,15,11,13,9,?,A
10,8,17,0,3,7,?,?,8,13,12,12,11,5,?,I
10,10,10,4,1,14,12,?,9,11,?,?,13,19,2,H
10,11,13,6,6,10,12,8,?,6,15,14,12,?,8,D
11,11,12,7,6,?,10,7,11,?,13,12,16,9,7,I
8,11,10,2,5,?,13,4,6,?,13,18,13,?,4,C
10,10,10,4,5,?,12,6,9,?,12,?,11,10,2,X
12,4,10,3,4,5,8,?,11,11,14,12,?,10,6,A
9,10,12,3,5,?,12,5,6,13,14,13,?,?,?,G
10,7,15,3,9,?,11,9,?,14,13,12,12,6,?,Z
10,9,12,8,6,9,12,14,14,12,13,?,14,8,?,K
8,14,15,5,5,9,15,10,9,6,14,12,15,?,4,V
9,10,12,5,8,13,13,8,?,?,11,?,11,10,7,E
10,9,10,7,9,10,8,?,10,12,12,12,13,?,?,A
8,10,12,3,6,10,12,5,6,14,?,14,?,10,3,G
7,16,14,2,6,10,13,9,10,6,?,13,14,15,4,P
11,11,8,6,9,10,?,11,?,10,14,12,14,?,9,A
9,10,7,0,12,14,12,10,11,14,?,8,13,?,5,S
9,10,14,4,4,?,12,4,6,11,?,16,11,9,3,H
7,17,17,1,3,7,11,9,10,?,13,?,14,12,7,P
12,6,9,6,6,8,?,6,11,?,14,17,13,12,?,Y
11,10,10,5,10,11,11,7,11,?,12,?,13,10,8,I
8,9,10,4,10,?,12,6,10,12,13,14,12,8,?,X
12,8,13,5,6,8,?,10,12,11,14,12,?,8,?,H
7,11,9,2,5,13,11,9,9,?,14,13,10,?,?,C
7,10,8,5,6,?,?,?,?,8,12,16,13,12,4,D
13,4,11,4,3,5,10,?,6,12,15,15,10,?,4,A
12,11,7,12,7,8,11,?,13,13,14,11,10,12,11,G
8,10,10,6,9,?,13,?,13,12,14,13,?,10,9,P
9,11,10,3,10,13,10,?,8,?,12,12,14,8,7,Z
14,4,17,2,1,?,11,?,7,16,12,?,10,15,?,J
8,13,18,3,7,11,?,15,?,9,13,10,16,?,5,T
9,9,8,4,7,11,10,5,?,12,15,16,?,6,4,X
12,10,10,10,2,7,?,7,8,11,15,14,16,12,10,W
11,9,8,7,3,10,?,?,11,6,12,12,15,?,7,N
9,9,9,3,9,13,?,3,?,?,14,15,11,9,3,Z
10,10,9,3,7,11,?,6,?,12,14,?,10,10,4,E
11,3,10,3,4,5,10,6,7,11,?,15,?,10,?,A
3,13,13,8,2,5,11,9,10,?,?,13,16,9,?,W
9,10,8,4,7,10,11,7,9,9,?,11,?,9,?,R
10,9,10,10,0,13,10,6,8,?,14,19,?,17,?,M
10,10,14,2,5,9,13,4,?,10,15,16,?,?,2,S
11,11,10,6,6,13,10,?,11,11,?,12,11,?,5,C
13,9,17,0,2,8,9,?,5,10,13,14,12,7,3,J
10,3,7,3,3,5,9,?,7,11,14,14,10,?,3,A
7,10,11,4,2,12,?,10,10,?,?,11,12,10,6,U
8,13,15,3,7,?,12,12,8,?,14,12,13,10,5,C
8,11,14,7,5,10,11,10,13,13,?,14,14,?,8,H
11,7,15,4,12,12,11,?,13,13,12,?,11,7,?,Q
15,3,12,5,4,4,10,8,?,13,13,12,?,?,7,A
7,10,10,3,3,?,14,?,2,13,14,18,9,15,?,K
7,13,13,3,5,?,?,6,?,9,13,13,15,10,4,F
10,8,8,1,12,12,?,6,?,?,?,16,13,7,2,S
9,10,9,3,5,10,?,5,6,9,?,15,11,11,2,R
12,7,10,6,8,?,11,?,12,10,13,15,?,11,7,H
7,10,10,1,6,16,13,11,12,18,11,?,10,?,?,C
8,12,9,4,2,?,12,?,5,13,14,16,13,10,3,U
11,4,8,6,7,5,11,11,14,9,12,?,13,?,5,A
10,9,8,9,12,8,11,8,10,11,?,12,10,12,11,H
10,10,15,3,6,?,12,11,12,?,12,9,?,7,8,E
11,10,15,4,8,?,13,7,13,?,6,12,10,10,4,J
10,11,14,3,7,?,?,9,11,9,14,14,15,?,7,S
11,6,12,7,10,9,8,?,?,14,11,16,13,12,?,Q
9,5,9,2,4,9,11,8,11,12,?,?,11,7,6,L
8,10,13,5,6,8,12,10,13,14,?,11,?,6,?,K
6,15,15,2,5,?,11,7,9,?,14,13,13,10,4,P
7,9,9,7,4,8,13,7,8,13,13,?,14,9,?,C
9,8,9,3,7,10,13,10,?,11,13,10,8,11,7,G
6,15,13,2,6,11,12,?,7,6,12,17,13,14,?,P
9,11,9,4,1,12,11,7,6,11,?,11,11,?,4,H
11,9,10,3,2,?,?,7,9,11,12,?,11,11,3,A
14,4,18,7,6,10,12,13,13,15,15,10,10,?,6,D
11,10,9,4,6,13,?,9,?,?,12,11,13,13,5,Q
8,9,12,7,2,5,8,4,5,?,16,14,?,11,4,M
9,10,10,12,0,13,?,11,?,?,11,11,12,17,5,M
13,8,14,5,3,8,?,8,10,10,13,11,11,8,7,D
7,12,12,3,6,13,12,11,11,?,12,12,?,?,5,P
10,8,15,4,9,11,11,12,13,12,15,?,13,6,?,Z
8,14,13,2,4,?,?,?,5,7,?,15,14,11,2,F
10,11,7,5,6,?,9,?,13,13,13,11,13,12,7,U
8,11,15,3,7,11,9,7,?,9,?,15,?,8,3,S
7,9,9,3,3,8,12,1,2,14,13,17,10,?,2,K
8,12,12,7,3,6,13,11,?,7,14,?,16,11,6,V
8,10,10,0,5,14,11,3,4,18,14,16,11,?,?,C
9,10,11,1,9,?,11,?,3,?,15,16,13,5,2,Z
8,12,20,3,3,?,11,10,13,11,11,11,12,?,5,J
9,9,10,4,3,10,?,8,?,5,13,10,13,10,7,D
10,10,9,4,5,7,?,12,12,11,?,11,?,10,6,X
11,10,15,4,4,9,10,7,10,9,18,16,12,5,?,X
9,11,11,7,7,9,10,12,9,9,12,11,?,10,?,O
3,2,1,1,0,?,10,?,3,6,14,?,12,12,1,L
6,13,16,2,3,?,11,6,8,?,15,16,12,9,?,C
16,4,14,3,3,5,9,?,10,?,13,10,12,?,6,A
10,13,16,2,3,8,13,4,?,5,?,15,13,8,?,F
8,8,10,1,13,?,11,?,8,13,12,12,11,7,7,Z
13,9,14,6,13,10,13,14,12,?,14,11,11,9,9,Q
2,16,16,1,3,8,?,9,9,10,12,11,13,11,4,F
7,15,17,3,3,?,?,8,9,?,16,15,15,?,5,F
5,18,16,0,6,9,13,11,10,?,?,?,14,14,4,P
7,13,16,3,3,12,12,7,8,13,13,14,?,9,5,C
9,11,10,3,12,15,11,6,11,10,10,16,?,?,6,B
0,0,1,1,0,11,12,7,11,?,?,17,13,11,?,L
11,11,9,7,9,11,13,12,13,11,?,?,10,12,10,R
10,9,11,11,1,13,11,10,13,?,11,12,11,?,5,M
12,9,14,3,4,10,12,6,8,8,?,15,?,9,4,D
8,13,17,6,6,8,12,14,?,?,14,?,14,11,?,P
10,9,10,4,6,11,11,?,12,?,12,12,?,13,6,O
8,11,14,4,3,?,11,5,6,13,?,16,?,7,3,K
9,9,8,3,6,9,12,2,4,?,15,18,13,11,3,G
10,14,9,2,2,7,13,3,?,11,14,14,14,7,3,Y
10,9,11,5,8,9,?,?,13,14,?,?,12,13,10,Q
11,11,11,3,5,?,13,2,?,12,14,16,?,13,3,Q
9,5,9,3,2,3,11,?,4,12,?,16,12,?,1,A
10,9,8,3,6,10,13,?,5,13,15,?,?,11,3,G
16,4,16,6,3,?,?,10,8,?,14,13,9,9,5,D
10,12,17,2,5,8,?,11,12,?,12,?,12,8,6,P
9,13,10,3,0,5,13,?,3,?,?,18,14,12,0,V
9,10,8,4,4,11,?,9,12,?,12,10,?,10,?,D
11,8,19,1,1,?,11,5,4,?,15,15,11,8,2,J
10,10,8,3,8,?,12,7,10,?,13,12,?,11,4,G
10,11,14,7,2,6,11,7,?,?,17,16,14,9,6,N
11,10,8,3,6,11,10,?,?,10,13,16,?,7,4,X
18,3,16,7,2,6,9,11,?,12,15,12,9,?,7,M
5,10,10,4,5,9,14,12,?,15,12,?,10,12,8,K
9,9,10,4,6,8,11,10,?,?,11,8,11,10,?,X
8,8,10,10,3,?,10,7,9,15,15,?,?,11,5,M
8,11,14,4,6,10,10,10,13,?,16,15,?,?,6,X
11,7,16,4,8,10,11,15,15,13,15,10,12,5,8,Z
13,9,13,4,6,10,?,10,?,8,14,13,7,8,8,R
14,9,13,4,6,9,12,6,9,9,14,13,?,9,6,R
11,11,9,10,9,9,12,11,15,?,14,13,11,?,?,B
8,11,12,3,6,15,13,3,8,17,?,18,?,?,4,C
12,10,10,5,9,7,8,8,11,8,?,11,15,10,10,J
8,18,10,3,7,?,10,5,8,?,13,16,8,14,5,R
12,11,13,4,7,9,11,?,14,?,13,14,12,?,7,S
6,10,9,5,9,7,?,6,8,14,13,?,15,9,6,C
10,8,9,5,8,8,12,8,10,?,12,?,?,11,8,B
12,7,18,0,2,9,9,8,9,13,13,10,?,8,?,J
9,5,10,2,3,7,11,8,9,12,?,11,9,6,5,L
12,7,11,3,1,3,?,8,?,10,13,9,9,11,4,A
9,8,14,3,7,13,14,11,14,15,14,?,?,9,?,G
